,name,cuisines,price_per_person,location,delivery_rating,delivery_reviews,dining_rating,dining_reviews
0,Subway,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps",₹250 for one,"Napier Town, Jabalpur",4.0,15.8K,4.3,405
1,Munna Hotel,North Indian,₹250 for one,"Wright Town, Jabalpur",3.1,"7,633",3.2,106
2,Popular Fresh Momos 'N' More,"Chinese, Fast Food, Momos, Burger, Beverages, Sichuan",₹250 for one,"Napier Town, Jabalpur",3.7,14.5K,3.9,383
3,Munna Hotel,"North Indian, Mughlai",₹250 for one,"Vijay Nagar, Jabalpur",3.2,751,3.3,8
4,The Melting Pot Bistro,"North Indian, Italian, Chinese, Fast Food, Beverages, Shake, Coffee",₹250 for one,"Wright Town, Jabalpur",3.8,"2,842",3.8,142
5,Hotel Al- Razzaq Family Restaurant,"North Indian, Mughlai, Fast Food, Chinese, Beverages",₹250 for one,"Napier Town, Jabalpur",3.9,"3,862",3.6,87
6,Hyderabad House,"Biryani, North Indian",₹250 for one,"Wright Town, Jabalpur",3.8,"2,752",4.1,107
7,Pizza Hut,"Pizza, Fast Food, Desserts, Beverages",₹250 for one,"Napier Town, Jabalpur",3.9,"8,337",4.2,310
8,Badkul Sweets,"Mithai, Street Food",₹250 for one,"Vijay Nagar, Jabalpur",4.4,675,-,0
9,Jagdish Restaurants,North Indian,₹50 for one,"Wright Town, Jabalpur",3.6,477,3.6,24
10,Abhinandan Veg Restaurant,North Indian,₹50 for one,"Wright Town, Jabalpur",4.0,"3,242",3.3,18
11,Khopcha Restaurant,"North Indian, Chinese, Fast Food",₹50 for one,"Wright Town, Jabalpur",4.0,"6,081",4.0,160
12,Nyt Meal,Fast Food,₹50 for one,"Wright Town, Jabalpur",3.7,"1,242",-,0
13,Apna Cafe,"South Indian, Fast Food",₹50 for one,"Wright Town, Jabalpur",3.2,"1,803",3.5,60
14,Gulmohur Restaurant,"North Indian, Chinese, Street Food, Fast Food, Ice Cream, Desserts, Beverages",₹50 for one,"Ganjipura, Jabalpur",3.7,"1,836",3.6,47
15,24×7,"North Indian, Street Food, Beverages",₹50 for one,"Wright Town, Jabalpur",3.5,86,-,0
16,Pait Pooja Home Kitchen,North Indian,₹50 for one,"Gohalpur, Jabalpur",4.0,199,-,0
17,Golden Kitchen Point,"North Indian, Chinese, Biryani, Pasta",₹50 for one,"Vijay Nagar, Jabalpur",3.7,267,3.2,10
18,Nutritionist Special Rasoi,"Street Food, Beverages, Fast Food",₹50 for one,"Ghamapur, Jabalpur",3.0,148,-,0
19,Badal Kabab,"Mughlai, Kebab",₹50 for one,"Napier Town, Jabalpur",4.1,725,-,0
